#   M	    K	    N	     v33
 3584	  256	 1536	0.013163
 3584	  256	 1792	0.013961
 3584	  256	 2048	0.015494
 3584	  256	 2304	0.017716
 3584	  256	 2560	0.020077
 3584	  256	 2816	0.020507
 3584	  256	 3072	0.022468
 3584	  256	 3328	0.023192
 3584	  256	 3584	0.024269
 3584	  256	 3840	0.032546
 3584	  256	 4096	0.029034
 3840	  256	  256	0.005391
 3840	  256	  512	0.006488
 3840	  256	  768	0.008496
 3840	  256	 1024	0.008574
 3840	  256	 1280	0.013360
 3840	  256	 1536	0.013632
 3840	  256	 1792	0.017400
 3840	  256	 2048	0.015626
 3840	  256	 2304	0.019842
 3840	  256	 2560	0.020933
 3840	  256	 2816	0.022744
 3840	  256	 3072	0.026633
 3840	  256	 3328	0.023682
 3840	  256	 3584	0.027630
 3840	  256	 3840	0.033200
 3840	  256	 4096	0.030347
 4096	  256	  256	0.005458
 4096	  256	  512	0.006603
 4096	  256	  768	0.008433
 4096	  256	 1024	0.008764
 4096	  256	 1280	0.014094
 4096	  256	 1536	0.013788
 4096	  256	 1792	0.015528
 4096	  256	 2048	0.017743
 4096	  256	 2304	0.020247
 4096	  256	 2560	0.021440
 4096	  256	 2816	0.022924
 4096	  256	 3072	0.023467
 4096	  256	 3328	0.032172
 4096	  256	 3584	0.028566
 4096	  256	 3840	0.030267
 4096	  256	 4096	0.031271
  256	  512	  256	0.005335
  256	  512	  512	0.005399
  256	  512	  768	0.005430
  256	  512	 1024	0.005455
  256	  512	 1280	0.005509
  256	  512	 1536	0.005574
  256	  512	 1792	0.005597
  256	  512	 2048	0.005519
  256	  512	 2304	0.006690
  256	  512	 2560	0.006734
  256	  512	 2816	0.006792
  256	  512	 3072	0.006768
  256	  512	 3328	0.006839
  256	  512	 3584	0.006924
  256	  512	 3840	0.006894
  256	  512	 4096	0.006865
  512	  512	  256	0.005393
  512	  512	  512	0.005436
  512	  512	  768	0.005527
  512	  512	 1024	0.005564
  512	  512	 1280	0.006819
  512	  512	 1536	0.006841
  512	  512	 1792	0.006943
  512	  512	 2048	0.006911
  512	  512	 2304	0.008186
  512	  512	 2560	0.008183
  512	  512	 2816	0.008207
  512	  512	 3072	0.008265
  512	  512	 3328	0.008869
  512	  512	 3584	0.008475
  512	  512	 3840	0.008595
  512	  512	 4096	0.008773
  768	  512	  256	0.005413
  768	  512	  512	0.005517
  768	  512	  768	0.006792
  768	  512	 1024	0.006829
  768	  512	 1280	0.006928
  768	  512	 1536	0.008766
  768	  512	 1792	0.008727
  768	  512	 2048	0.008486
  768	  512	 2304	0.008545
  768	  512	 2560	0.008593
  768	  512	 2816	0.008658
  768	  512	 3072	0.012219
  768	  512	 3328	0.012197
  768	  512	 3584	0.012228
  768	  512	 3840	0.012255
  768	  512	 4096	0.012263
 1024	  512	  256	0.005436
 1024	  512	  512	0.005569
 1024	  512	  768	0.006872
 1024	  512	 1024	0.006888
 1024	  512	 1280	0.008712
 1024	  512	 1536	0.008554
 1024	  512	 1792	0.008928
 1024	  512	 2048	0.008879
 1024	  512	 2304	0.012182
 1024	  512	 2560	0.012217
 1024	  512	 2816	0.012205
 1024	  512	 3072	0.012279
 1024	  512	 3328	0.016247
 1024	  512	 3584	0.013571
 1024	  512	 3840	0.012258
 1024	  512	 4096	0.012471
 1280	  512	  256	0.005487
 1280	  512	  512	0.006866
 1280	  512	  768	0.006949
 1280	  512	 1024	0.008230
 1280	  512	 1280	0.008641
 1280	  512	 1536	0.008671
 1280	  512	 1792	0.012094
 1280	  512	 2048	0.012198
 1280	  512	 2304	0.012219
 1280	  512	 2560	0.012193
 1280	  512	 2816	0.012192
 1280	  512	 3072	0.012284
 1280	  512	 3328	0.012454
 1280	  512	 3584	0.021647
 1280	  512	 3840	0.018586
 1280	  512	 4096	0.020013
 1536	  512	  256	0.005514
 1536	  512	  512	0.006895
 1536	  512	  768	0.008249
 1536	  512	 1024	0.008650
 1536	  512	 1280	0.008624
 1536	  512	 1536	0.013032
 1536	  512	 1792	0.010996
 1536	  512	 2048	0.012166
 1536	  512	 2304	0.012215
 1536	  512	 2560	0.015951
 1536	  512	 2816	0.014102
 1536	  512	 3072	0.017745
 1536	  512	 3328	0.019559
 1536	  512	 3584	0.019582
 1536	  512	 3840	0.021416
 1536	  512	 4096	0.021145
 1792	  512	  256	0.005565
 1792	  512	  512	0.006840
 1792	  512	  768	0.008245
 1792	  512	 1024	0.008503
 1792	  512	 1280	0.012089
 1792	  512	 1536	0.012222
 1792	  512	 1792	0.012186
 1792	  512	 2048	0.012202
 1792	  512	 2304	0.012574
 1792	  512	 2560	0.017556
 1792	  512	 2816	0.019251
 1792	  512	 3072	0.019556
 1792	  512	 3328	0.021538
 1792	  512	 3584	0.022369
 1792	  512	 3840	0.022656
 1792	  512	 4096	0.022952
 2048	  512	  256	0.005595
 2048	  512	  512	0.006896
 2048	  512	  768	0.008271
 2048	  512	 1024	0.008777
 2048	  512	 1280	0.012223
 2048	  512	 1536	0.012217
 2048	  512	 1792	0.012205
 2048	  512	 2048	0.012356
