#   M	    K	    N	     v33
    1	 2048	   16	0.014422
    2	 2048	   16	0.015364
    4	 2048	   16	0.015471
    8	 2048	   16	0.015476
   16	 2048	   16	0.015488
   24	 2048	   16	0.015525
   32	 2048	   16	0.015492
   40	 2048	   16	0.015451
   48	 2048	   16	0.015531
   56	 2048	   16	0.015307
   64	 2048	   16	0.015287
   72	 2048	   16	0.015453
   80	 2048	   16	0.015474
   88	 2048	   16	0.015334
   96	 2048	   16	0.015510
  104	 2048	   16	0.015426
  112	 2048	   16	0.015586
  120	 2048	   16	0.015616
  128	 2048	   16	0.015794
  136	 2048	   16	0.015990
  144	 2048	   16	0.015973
  152	 2048	   16	0.015436
  160	 2048	   16	0.015430
  168	 2048	   16	0.015575
  176	 2048	   16	0.015589
  184	 2048	   16	0.015429
  192	 2048	   16	0.015613
  200	 2048	   16	0.015664
  208	 2048	   16	0.015638
  216	 2048	   16	0.015570
  224	 2048	   16	0.015709
  232	 2048	   16	0.015693
  240	 2048	   16	0.015859
  248	 2048	   16	0.015854
  256	 2048	   16	0.016043
  272	 2048	   16	0.016109
  288	 2048	   16	0.016245
  304	 2048	   16	0.016137
  320	 2048	   16	0.016155
  336	 2048	   16	0.016376
  352	 2048	   16	0.016412
  368	 2048	   16	0.016484
  384	 2048	   16	0.016481
  400	 2048	   16	0.016394
  416	 2048	   16	0.016421
  432	 2048	   16	0.016625
  448	 2048	   16	0.016450
  464	 2048	   16	0.016646
  480	 2048	   16	0.016677
  496	 2048	   16	0.016745
  512	 2048	   16	0.016795
  768	 2048	   16	0.017129
 1024	 2048	   16	0.018047
 1536	 2048	   16	0.018671
 2048	 2048	   16	0.019606
 3072	 2048	   16	0.019865
 4096	 2048	   16	0.021426
 7168	 2048	   16	0.028492
 8192	 2048	   16	0.030353
11264	 2048	   16	0.038270
12280	 2048	   16	0.039694
15360	 2048	   16	0.046256
16384	 2048	   16	0.048887
    1	 2048	  512	0.013493
    2	 2048	  512	0.014516
    4	 2048	  512	0.014625
    8	 2048	  512	0.014727
   16	 2048	  512	0.014638
   24	 2048	  512	0.014684
   32	 2048	  512	0.014712
   40	 2048	  512	0.014627
   48	 2048	  512	0.014398
   56	 2048	  512	0.014450
   64	 2048	  512	0.014600
   72	 2048	  512	0.014610
   80	 2048	  512	0.014613
   88	 2048	  512	0.014494
   96	 2048	  512	0.014638
  104	 2048	  512	0.014646
  112	 2048	  512	0.014617
  120	 2048	  512	0.014681
  128	 2048	  512	0.014651
  136	 2048	  512	0.014542
  144	 2048	  512	0.014521
  152	 2048	  512	0.014563
  160	 2048	  512	0.014646
  168	 2048	  512	0.014701
  176	 2048	  512	0.014674
  184	 2048	  512	0.014564
  192	 2048	  512	0.014686
  200	 2048	  512	0.014610
  208	 2048	  512	0.015308
  216	 2048	  512	0.014785
  224	 2048	  512	0.014596
  232	 2048	  512	0.014907
  240	 2048	  512	0.014742
  248	 2048	  512	0.014737
  256	 2048	  512	0.014711
  272	 2048	  512	0.015759
  288	 2048	  512	0.015870
  304	 2048	  512	0.015763
  320	 2048	  512	0.015812
  336	 2048	  512	0.015805
  352	 2048	  512	0.016070
  368	 2048	  512	0.015881
  384	 2048	  512	0.015988
  400	 2048	  512	0.015943
  416	 2048	  512	0.016101
  432	 2048	  512	0.015993
  448	 2048	  512	0.016038
  464	 2048	  512	0.016215
  480	 2048	  512	0.016280
  496	 2048	  512	0.016340
  512	 2048	  512	0.016384
  768	 2048	  512	0.017158
 1024	 2048	  512	0.017449
 1536	 2048	  512	0.020089
 2048	 2048	  512	0.020572
 3072	 2048	  512	0.025544
 4096	 2048	  512	0.028616
 7168	 2048	  512	0.042247
 8192	 2048	  512	0.043618
11264	 2048	  512	0.065913
12280	 2048	  512	0.067532
15360	 2048	  512	0.081419
16384	 2048	  512	0.081517
    1	 2048	 2560	0.015393
    2	 2048	 2560	0.015955
    4	 2048	 2560	0.015848
    8	 2048	 2560	0.015909
   16	 2048	 2560	0.015775
   24	 2048	 2560	0.015977
