#   M	    K	    N	    v3.3	  no_tma	 dev_tma	host_tma
 1536	  512	  256	0.005514	0.004932	0.006413	0.004435
 1536	  512	  512	0.006895	0.006514	0.006935	0.004218
 1536	  512	  768	0.008249	0.008034	0.008208	0.005647
 1536	  512	 1024	0.008650	0.007054	0.008272	0.005547
 1536	  512	 1280	0.008624	0.007216	0.008608	0.005664
 1536	  512	 1536	0.013032	0.010378	0.011063	0.008177
 1536	  512	 1792	0.010996	0.011271	0.011191	0.007174
 1536	  512	 2048	0.012166	0.011431	0.011459	0.007818
 1536	  512	 2304	0.012215	0.011641	0.011797	0.008726
 1536	  512	 2560	0.015951	0.011692	0.011663	0.008792
 1536	  512	 2816	0.014102	0.011801	0.012699	0.009155
 1536	  512	 3072	0.017745	0.016775	0.017363	0.010995
 1536	  512	 3328	0.019559	0.016799	0.018125	0.011264
 1536	  512	 3584	0.019582	0.016886	0.019646	0.011862
 1536	  512	 3840	0.021416	0.017114	0.020601	0.012179
 1536	  512	 4096	0.021145	0.017245	0.020922	0.012402
 1792	  512	  256	0.005565	0.004938	0.006334	0.003716
 1792	  512	  512	0.006840	0.006417	0.007042	0.004081
 1792	  512	  768	0.008245	0.007060	0.008189	0.005522
 1792	  512	 1024	0.008503	0.007159	0.008541	0.005610
 1792	  512	 1280	0.012089	0.011079	0.011057	0.006942
 1792	  512	 1536	0.012222	0.011288	0.011111	0.007261
 1792	  512	 1792	0.012186	0.011532	0.011421	0.008306
 1792	  512	 2048	0.012202	0.011492	0.011622	0.008839
 1792	  512	 2304	0.012574	0.011824	0.011914	0.010397
 1792	  512	 2560	0.017556	0.020612	0.017188	0.010930
 1792	  512	 2816	0.019251	0.016739	0.018108	0.019952
 1792	  512	 3072	0.019556	0.016883	0.019829	0.011437
 1792	  512	 3328	0.021538	0.017199	0.020780	0.012202
 1792	  512	 3584	0.022369	0.017650	0.021408	0.013196
 1792	  512	 3840	0.022656	0.021453	0.021583	0.015202
 1792	  512	 4096	0.022952	0.021827	0.022188	0.015750
 2048	  512	  256	0.005595	0.004948	0.006559	0.003666
 2048	  512	  512	0.006896	0.006466	0.007184	0.004136
 2048	  512	  768	0.008271	0.007132	0.008420	0.005942
 2048	  512	 1024	0.008777	0.007228	0.008673	0.005848
 2048	  512	 1280	0.012223	0.011290	0.012058	0.007176
 2048	  512	 1536	0.012217	0.011722	0.012192	0.007511
 2048	  512	 1792	0.012205	0.011601	0.012439	0.008784
 2048	  512	 2048	0.012356	0.011710	0.011722	0.009128
 2048	  512	 2304	0.019200	0.016730	0.017494	0.011157
 2048	  512	 2560	0.019378	0.016797	0.018849	0.012243
 2048	  512	 2816	0.020583	0.017141	0.020502	0.011963
 2048	  512	 3072	0.022679	0.017434	0.021243	0.013101
 2048	  512	 3328	0.022617	0.021791	0.022808	0.018349
 2048	  512	 3584	0.023315	0.022356	0.022279	0.015848
 2048	  512	 3840	0.023373	0.022739	0.023245	0.016469
 2048	  512	 4096	0.026635	0.022294	0.024199	0.017148
 2304	  512	  256	0.006666	0.006615	0.006791	0.004381
 2304	  512	  512	0.008244	0.007155	0.009498	0.005842
 2304	  512	  768	0.008918	0.007144	0.008553	0.005785
 2304	  512	 1024	0.012150	0.010468	0.011066	0.007066
 2304	  512	 1280	0.012227	0.011448	0.011187	0.007502
 2304	  512	 1536	0.012219	0.011376	0.011570	0.008679
 2304	  512	 1792	0.012450	0.011655	0.011936	0.009190
 2304	  512	 2048	0.019132	0.016713	0.017397	0.011036
 2304	  512	 2304	0.019416	0.016814	0.020199	0.012404
 2304	  512	 2560	0.021465	0.016993	0.020819	0.012045
 2304	  512	 2816	0.022858	0.021218	0.021268	0.016639
 2304	  512	 3072	0.022742	0.021559	0.021844	0.015725
 2304	  512	 3328	0.023188	0.021735	0.022916	0.016196
 2304	  512	 3584	0.026078	0.022038	0.024040	0.017280
 2304	  512	 3840	0.029723	0.027769	0.027686	0.018839
 2304	  512	 4096	0.030799	0.031054	0.028923	0.020594
 2560	  512	  256	0.006870	0.006489	0.006759	0.004093
 2560	  512	  512	0.008299	0.008210	0.008672	0.005667
 2560	  512	  768	0.008907	0.007949	0.008670	0.005710
 2560	  512	 1024	0.013621	0.011296	0.011295	0.007137
 2560	  512	 1280	0.012210	0.013982	0.011476	0.008526
 2560	  512	 1536	0.012234	0.014414	0.011645	0.008835
 2560	  512	 1792	0.019192	0.016707	0.017281	0.011057
 2560	  512	 2048	0.019237	0.016782	0.018617	0.011144
 2560	  512	 2304	0.021333	0.021032	0.020685	0.012298
 2560	  512	 2560	0.022471	0.021257	0.021524	0.014863
 2560	  512	 2816	0.022877	0.021724	0.022329	0.017215
 2560	  512	 3072	0.023399	0.021982	0.022475	0.017088
 2560	  512	 3328	0.023991	0.022392	0.024989	0.017603
 2560	  512	 3584	0.030312	0.030762	0.028181	0.019951
 2560	  512	 3840	0.032211	0.027776	0.031455	0.025714
 2560	  512	 4096	0.033428	0.031982	0.031615	0.022569
 2816	  512	  256	0.006857	0.006753	0.006884	0.004055
 2816	  512	  512	0.008320	0.007247	0.008653	0.005711
 2816	  512	  768	0.008783	0.007295	0.008787	0.006018
 2816	  512	 1024	0.012313	0.011435	0.011428	0.007320
 2816	  512	 1280	0.012248	0.012017	0.011145	0.008653
 2816	  512	 1536	0.012678	0.012184	0.011935	0.009231
 2816	  512	 1792	0.026173	0.020790	0.018200	0.012189
 2816	  512	 2048	0.019855	0.017862	0.020337	0.012435
 2816	  512	 2304	0.022422	0.017543	0.021841	0.012637
 2816	  512	 2560	0.022893	0.021785	0.022365	0.016021
 2816	  512	 2816	0.023768	0.021848	0.023589	0.016991
 2816	  512	 3072	0.026394	0.023309	0.023121	0.018294
 2816	  512	 3328	0.031184	0.028432	0.029159	0.020510
 2816	  512	 3584	0.032954	0.028268	0.031647	0.021481
 2816	  512	 3840	0.038435	0.037590	0.033292	0.022791
 2816	  512	 4096	0.034683	0.032773	0.035164	0.026230
 3072	  512	  256	0.006978	0.006513	0.006858	0.004604
 3072	  512	  512	0.008394	0.007129	0.008545	0.006282
 3072	  512	  768	0.012187	0.011096	0.012078	0.007852
 3072	  512	 1024	0.012404	0.011549	0.011622	0.008337
 3072	  512	 1280	0.012306	0.011536	0.011734	0.008806
 3072	  512	 1536	0.017645	0.016717	0.017460	0.011734
 3072	  512	 1792	0.019800	0.016965	0.019997	0.012552
 3072	  512	 2048	0.022743	0.017319	0.021554	0.012405
 3072	  512	 2304	0.032528	0.021711	0.022119	0.015718
 3072	  512	 2560	0.027103	0.021990	0.023490	0.017728
 3072	  512	 2816	0.024446	0.022828	0.023684	0.018092
 3072	  512	 3072	0.030736	0.027712	0.029446	0.020631
 3072	  512	 3328	0.032503	0.028565	0.031557	0.021914
 3072	  512	 3584	0.034363	0.032253	0.032880	0.022948
 3072	  512	 3840	0.035131	0.032457	0.034339	0.023813
 3072	  512	 4096	0.036214	0.035081	0.037647	0.027154
 3328	  512	  256	0.006986	0.006856	0.008201	0.004299
 3328	  512	  512	0.008958	0.011585	0.008834	0.005933
 3328	  512	  768	0.012284	0.011079	0.011306	0.007015
 3328	  512	 1024	0.013932	0.011267	0.011372	0.008416
 3328	  512	 1280	0.012440	0.011964	0.012993	0.009184
