#   M	    K	    N	     v33
  208	 2048	    1	0.008266
  216	 2048	    1	0.008577
  224	 2048	    1	0.008554
  232	 2048	    1	0.008872
  240	 2048	    1	0.008870
  248	 2048	    1	0.008883
  256	 2048	    1	0.008892
  272	 2048	    1	0.008985
  288	 2048	    1	0.008980
  304	 2048	    1	0.008977
  320	 2048	    1	0.008982
  336	 2048	    1	0.009009
  352	 2048	    1	0.009029
  368	 2048	    1	0.009042
  384	 2048	    1	0.009017
  400	 2048	    1	0.009019
  416	 2048	    1	0.009002
  432	 2048	    1	0.009022
  448	 2048	    1	0.009021
  464	 2048	    1	0.009181
  480	 2048	    1	0.009323
  496	 2048	    1	0.009604
  512	 2048	    1	0.009629
  768	 2048	    1	0.010561
 1024	 2048	    1	0.012270
 1536	 2048	    1	0.013165
 2048	 2048	    1	0.014007
 3072	 2048	    1	0.018164
 4096	 2048	    1	0.021102
 7168	 2048	    1	0.028882
 8192	 2048	    1	0.030179
11264	 2048	    1	0.044024
12280	 2048	    1	0.048254
15360	 2048	    1	0.056735
16384	 2048	    1	0.060379
    1	 2048	   16	0.009691
    2	 2048	   16	0.010655
    4	 2048	   16	0.010636
    8	 2048	   16	0.010675
   16	 2048	   16	0.010679
   24	 2048	   16	0.010685
   32	 2048	   16	0.010672
   40	 2048	   16	0.010666
   48	 2048	   16	0.010652
   56	 2048	   16	0.010652
   64	 2048	   16	0.010660
   72	 2048	   16	0.010747
   80	 2048	   16	0.010789
   88	 2048	   16	0.010745
   96	 2048	   16	0.010763
  104	 2048	   16	0.010711
  112	 2048	   16	0.010745
  120	 2048	   16	0.011002
  128	 2048	   16	0.010997
  136	 2048	   16	0.011015
  144	 2048	   16	0.011017
  152	 2048	   16	0.011026
  160	 2048	   16	0.010998
  168	 2048	   16	0.010987
  176	 2048	   16	0.011004
  184	 2048	   16	0.010984
  192	 2048	   16	0.010977
  200	 2048	   16	0.010999
  208	 2048	   16	0.011052
  216	 2048	   16	0.011127
  224	 2048	   16	0.011103
  232	 2048	   16	0.011213
  240	 2048	   16	0.011176
  248	 2048	   16	0.011143
  256	 2048	   16	0.011176
  272	 2048	   16	0.011530
  288	 2048	   16	0.011520
  304	 2048	   16	0.011505
  320	 2048	   16	0.011533
  336	 2048	   16	0.011604
  352	 2048	   16	0.011597
  368	 2048	   16	0.011621
  384	 2048	   16	0.011653
  400	 2048	   16	0.011664
  416	 2048	   16	0.011726
  432	 2048	   16	0.011728
  448	 2048	   16	0.011702
  464	 2048	   16	0.011775
  480	 2048	   16	0.011873
  496	 2048	   16	0.011964
  512	 2048	   16	0.011964
  768	 2048	   16	0.012523
 1024	 2048	   16	0.013108
 1536	 2048	   16	0.013160
 2048	 2048	   16	0.013492
 3072	 2048	   16	0.014158
 4096	 2048	   16	0.015256
 7168	 2048	   16	0.021127
 8192	 2048	   16	0.021942
11264	 2048	   16	0.030403
12280	 2048	   16	0.033103
15360	 2048	   16	0.040373
16384	 2048	   16	0.044021
    1	 2048	  512	0.007917
    2	 2048	  512	0.009568
    4	 2048	  512	0.009032
    8	 2048	  512	0.009538
   16	 2048	  512	0.009059
   24	 2048	  512	0.009551
   32	 2048	  512	0.009585
   40	 2048	  512	0.009039
   48	 2048	  512	0.009038
   56	 2048	  512	0.009040
   64	 2048	  512	0.009058
   72	 2048	  512	0.009069
   80	 2048	  512	0.009097
   88	 2048	  512	0.009084
   96	 2048	  512	0.009096
  104	 2048	  512	0.009093
  112	 2048	  512	0.009105
  120	 2048	  512	0.009119
  128	 2048	  512	0.009106
  136	 2048	  512	0.009192
  144	 2048	  512	0.009159
  152	 2048	  512	0.009152
  160	 2048	  512	0.009142
  168	 2048	  512	0.009138
  176	 2048	  512	0.009157
  184	 2048	  512	0.009157
  192	 2048	  512	0.009171
  200	 2048	  512	0.009192
  208	 2048	  512	0.009178
  216	 2048	  512	0.009200
  224	 2048	  512	0.009209
  232	 2048	  512	0.009224
  240	 2048	  512	0.009205
  248	 2048	  512	0.009216
  256	 2048	  512	0.009200
  272	 2048	  512	0.011254
  288	 2048	  512	0.011347
  304	 2048	  512	0.011348
  320	 2048	  512	0.011367
  336	 2048	  512	0.011398
  352	 2048	  512	0.011377
  368	 2048	  512	0.011468
  384	 2048	  512	0.011386
  400	 2048	  512	0.011404
  416	 2048	  512	0.011417
  432	 2048	  512	0.011463
  448	 2048	  512	0.011428
  464	 2048	  512	0.011481
  480	 2048	  512	0.011478
  496	 2048	  512	0.011506
  512	 2048	  512	0.011452
  768	 2048	  512	0.012114
 1024	 2048	  512	0.012122
 1536	 2048	  512	0.015143
 2048	 2048	  512	0.015301
 3072	 2048	  512	0.020926
 4096	 2048	  512	0.023496
 7168	 2048	  512	0.039890
 8192	 2048	  512	0.042894
11264	 2048	  512	0.065153
12280	 2048	  512	0.067703
15360	 2048	  512	0.083519
